サンプル名,Ce,Co,Zn,Ce5Co19,Ce2Co17,Ce1Co5,CeO2_cubic,Ce2O3_trig,Co_cubic,T_a,Coercivity,XRD サンプル名
CeCo_2-7_20_10,18.03833557,81.96166443,0.0,0.459,0.31,0.22,0.0105,0.0,0.0,450,1.757079507434638,CeCo_2-7_241.xy
CeCo_2-7_25_10,17.41027573,82.58972427,0.0,0.304,0.212,0.473,0.0108,0.0,0.0,450,1.878498561343922,CeCo_2-7_258.xy
CeCo_2-7_30_10,16.94858675,83.05141325,0.0,0.157,0.224,0.607,0.0119,0.0,0.0,450,2.1379033611571168,CeCo_2-7_275.xy
CeCo_2-7_35_10,15.75257514,84.24742486,0.0,0.193,0.212,0.587,0.0075,0.0,0.0,450,2.2541006907928214,CeCo_2-7_292.xy
CeCo_2-7_40_10,15.428399579999999,84.57160042000001,0.0,0.079,0.246,0.667,0.0084,0.0,0.0,450,1.898286533366298,CeCo_2-7_309.xy
CeCo_2-7_-40_15,15.1330639,84.8669361,0.0,0.0113,0.447,0.516,0.0264,0.0,0.0,450,,CeCo_2-7_38.xy
CeCo_2-7_-35_15,16.06238039,83.93761961,0.0,0.087,0.266,0.626,0.0208,0.0,0.0,450,1.4081090141218748,CeCo_2-7_55.xy
CeCo_2-7_-30_15,16.94582972,83.05417028,0.0,0.231,0.274,0.485,0.0094,0.0,0.0,450,1.7336660367122918,CeCo_2-7_72.xy
CeCo_2-7_-25_15,17.72250829,82.27749170999999,0.0,0.408,0.315,0.266,0.0116,0.0,0.0,450,1.8004980999030966,CeCo_2-7_89.xy
CeCo_2-7_-20_15,18.34389129,81.65610871,0.0,0.492,0.293,0.204,0.0109,0.0,0.0,450,1.5508133995997049,CeCo_2-7_106.xy
CeCo_2-7_-15_15,18.54467719,81.45532281,0.0,0.554,0.276,0.161,0.0093,0.0,0.0,450,1.1153476863233052,CeCo_2-7_123.xy
CeCo_2-7_-10_15,19.03462158,80.96537842000001,0.0,0.619,0.276,0.099,0.0055,0.0,0.0,450,1.0316681639073306,CeCo_2-7_140.xy
CeCo_2-7_-5_15,19.30462888,80.69537112,0.0,0.633,0.269,0.093,0.0055,0.0,0.0,450,0.971988998885744,CeCo_2-7_157.xy
CeCo_2-7_0_15,19.57142656,80.42857344,0.0,0.646,0.264,0.087,0.004,0.0,0.0,450,1.1551396316146514,CeCo_2-7_174.xy
CeCo_2-7_5_15,19.56002993,80.43997007,0.0,0.632,0.281,0.085,0.0024,0.0,0.0,450,1.0674691407187025,CeCo_2-7_191.xy
CeCo_2-7_10_15,19.441356900000002,80.55864310000001,0.0,0.594,0.326,0.077,0.0032,0.0,0.0,450,0.9166897549403136,CeCo_2-7_208.xy
CeCo_2-7_15_15,19.33385535,80.66614465,0.0,0.623,0.281,0.089,0.006,0.0,0.0,450,0.9884336344062351,CeCo_2-7_225.xy
CeCo_2-7_20_15,18.81549601,81.18450399,0.0,0.615,0.275,0.103,0.0066,0.0,0.0,450,1.1854494384360625,CeCo_2-7_242.xy
CeCo_2-7_25_15,18.16929121,81.83070878999999,0.0,0.578,0.295,0.12,0.0071,0.0,0.0,450,1.027739090702406,CeCo_2-7_259.xy
CeCo_2-7_30_15,17.80286314,82.19713686,0.0,0.5,0.265,0.224,0.0115,0.0,0.0,450,1.5723544336724564,CeCo_2-7_276.xy
CeCo_2-7_35_15,16.9268744,83.0731256,0.0,0.378,0.294,0.318,0.0099,0.0,0.0,450,1.8361960129257993,CeCo_2-7_293.xy
CeCo_2-7_40_15,16.24729727,83.75270273,0.0,0.164,0.182,0.634,0.0203,0.0,0.0,450,,CeCo_2-7_310.xy
CeCo_2-7_-40_20,,,0.0,,,,,0.0,0.0,450,,CeCo_2-7_39.xy
CeCo_2-7_-35_20,16.79352525,83.20647475,0.0,0.15,0.426,0.384,0.0404,0.0,0.0,450,1.24764433480909,CeCo_2-7_56.xy
CeCo_2-7_-30_20,17.74694806,82.25305194,0.0,0.351,0.327,0.305,0.0161,0.0,0.0,450,1.423507831981551,CeCo_2-7_73.xy
CeCo_2-7_-25_20,18.13454652,81.86545348,0.0,0.454,0.324,0.204,0.0179,0.0,0.0,450,1.204783707559348,CeCo_2-7_90.xy
CeCo_2-7_-20_20,19.125149280000002,80.87485072,0.0,0.552,0.275,0.152,0.021,0.0,0.0,450,0.9216239752484126,CeCo_2-7_107.xy
CeCo_2-7_-15_20,19.15309161,80.84690839000001,0.0,0.625,0.26,0.096,0.0192,0.0,0.0,450,0.5444687864816682,CeCo_2-7_124.xy
CeCo_2-7_-10_20,19.926793619999998,80.07320637999999,0.0,0.617,0.1043,0.26,0.0184,0.0,0.0,450,0.456916395584522,CeCo_2-7_141.xy
CeCo_2-7_-5_20,19.66438591,80.33561408999999,0.0,0.529,0.222,0.245,0.0042,0.0,0.0,450,0.3559122401251815,CeCo_2-7_158.xy
CeCo_2-7_0_20,19.94258706,80.05741293999999,0.0,0.635,0.242,0.104,0.0196,0.0,0.0,450,0.32511379777787974,CeCo_2-7_175.xy
CeCo_2-7_5_20,20.45144612,79.54855388,0.0,0.62,0.248,0.108,0.0244,0.0,0.0,450,0.28768873601296757,CeCo_2-7_192.xy
CeCo_2-7_10_20,19.84283184,80.15716816,0.0,0.568,0.263,0.135,0.0342,0.0,0.0,450,0.43243685100147056,CeCo_2-7_209.xy
CeCo_2-7_15_20,19.82943964,80.17056036,0.0,0.638,0.276,0.071,0.0149,0.0,0.0,450,0.37400639556947646,CeCo_2-7_226.xy
CeCo_2-7_20_20,19.60006384,80.39993616,0.0,0.666,0.234,0.086,0.0139,0.0,0.0,450,0.3437325496913288,CeCo_2-7_243.xy
CeCo_2-7_25_20,19.08051004,80.91948996,0.0,0.623,0.266,0.099,0.0119,0.0,0.0,450,0.5206894561934092,CeCo_2-7_260.xy
CeCo_2-7_30_20,18.439295689999998,81.56070431,0.0,0.52,0.292,0.175,0.0127,0.0,0.0,450,0.8060202265661257,CeCo_2-7_277.xy
